date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-23,AC,Acrelândia,city,185,2,True,15256,1200013,1212.63765,0.0108
2020-06-23,AC,Assis Brasil,city,141,5,True,7417,1200054,1901.03816,0.0355
2020-06-23,AC,Brasiléia,city,267,6,True,26278,1200104,1016.05906,0.0225
2020-06-23,AC,Bujari,city,146,1,True,10266,1200138,1422.17027,0.0068
2020-06-23,AC,Capixaba,city,122,4,True,11733,1200179,1039.80227,0.0328
2020-06-23,AC,Cruzeiro do Sul,city,1918,31,True,88376,1200203,2170.27247,0.0162
2020-06-23,AC,Epitaciolândia,city,139,6,True,18411,1200252,754.98343,0.0432
2020-06-23,AC,Feijó,city,157,4,True,34780,1200302,451.40886,0.0255
2020-06-23,AC,Jordão,city,30,0,True,8317,1200328,360.70699,0.0
2020-06-23,AC,Mâncio Lima,city,118,3,True,18977,1200336,621.80534,0.0254
2020-06-23,AC,Manoel Urbano,city,45,0,True,9459,1200344,475.73739,0.0
2020-06-23,AC,Marechal Thaumaturgo,city,136,0,True,18867,1200351,720.83532,0.0
2020-06-23,AC,Plácido de Castro,city,255,6,True,19761,1200385,1290.42053,0.0235
2020-06-23,AC,Porto Acre,city,214,6,True,18504,1200807,1156.5067,0.028
2020-06-23,AC,Porto Walter,city,49,0,True,11982,1200393,408.94675,0.0
2020-06-23,AC,Rio Branco,city,6176,230,True,407319,1200401,1516.2563,0.0372
2020-06-23,AC,Rodrigues Alves,city,84,4,True,18930,1200427,443.7401,0.0476
2020-06-23,AC,Santa Rosa do Purus,city,134,1,True,6540,1200435,2048.92966,0.0075
2020-06-23,AC,Senador Guiomard,city,228,5,True,23024,1200450,990.27102,0.0219
2020-06-23,AC,Sena Madureira,city,482,2,True,45848,1200500,1051.29995,0.0041
2020-06-23,AC,Tarauacá,city,583,3,True,42567,1200609,1369.60556,0.0051
2020-06-23,AC,Xapuri,city,201,2,True,19323,1200708,1040.21115,0.01
2020-06-23,AC,,state,11810,321,True,881935,12,1339.10095,0.0272
2020-06-23,AL,Água Branca,city,22,0,True,20196,2700102,108.93246,0.0
2020-06-23,AL,Anadia,city,164,1,True,17545,2700201,934.73924,0.0061
2020-06-23,AL,Arapiraca,city,2176,28,True,231747,2700300,938.95498,0.0129
