date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-23,PA,Brejo Grande do Araguaia,city,28,0,True,7380,1501758,379.40379,0.0
2020-06-23,PA,Breu Branco,city,168,13,True,66046,1501782,254.36817,0.0774
2020-06-23,PA,Breves,city,1029,70,True,102701,1501808,1001.93766,0.068
2020-06-23,PA,Bujaru,city,190,18,True,29132,1501907,652.20376,0.0947
2020-06-23,PA,Cachoeira do Arari,city,114,9,True,23767,1502004,479.65667,0.0789
2020-06-23,PA,Cachoeira do Piriá,city,195,0,True,33900,1501956,575.22124,0.0
2020-06-23,PA,Cametá,city,3058,74,True,137890,1502103,2217.70977,0.0242
2020-06-23,PA,Canaã dos Carajás,city,1944,21,True,37085,1502152,5242.01159,0.0108
2020-06-23,PA,Capanema,city,755,50,True,69027,1502202,1093.7749,0.0662
2020-06-23,PA,Capitão Poço,city,371,22,True,54303,1502301,683.20351,0.0593
2020-06-23,PA,Castanhal,city,1450,165,True,200793,1502400,722.13673,0.1138
2020-06-23,PA,Chaves,city,139,1,True,23717,1502509,586.0775,0.0072
2020-06-23,PA,Colares,city,70,8,True,12085,1502608,579.23045,0.1143
2020-06-23,PA,Conceição do Araguaia,city,132,3,True,47864,1502707,275.78138,0.0227
2020-06-23,PA,Concórdia do Pará,city,376,6,True,33318,1502756,1128.51912,0.016
2020-06-23,PA,Cumaru do Norte,city,148,3,True,13473,1502764,1098.49328,0.0203
2020-06-23,PA,Curionópolis,city,619,9,True,17929,1502772,3452.50711,0.0145
2020-06-23,PA,Curralinho,city,110,6,True,34448,1502806,319.32188,0.0545
2020-06-23,PA,Curuá,city,25,0,True,14393,1502855,173.69555,0.0
2020-06-23,PA,Curuçá,city,1029,46,True,40066,1502905,2568.26237,0.0447
2020-06-23,PA,Dom Eliseu,city,512,7,True,59719,1502939,857.34858,0.0137
2020-06-23,PA,Eldorado do Carajás,city,137,4,True,33808,1502954,405.22953,0.0292
2020-06-23,PA,Faro,city,15,0,True,7194,1503002,208.50709,0.0
2020-06-23,PA,Floresta do Araguaia,city,54,0,True,20304,1503044,265.95745,0.0
2020-06-23,PA,Garrafão do Norte,city,308,5,True,26066,1503077,1181.6159,0.0162
2020-06-23,PA,Goianésia do Pará,city,86,4,True,40475,1503093,212.47684,0.0465
2020-06-23,PA,Gurupá,city,484,8,True,33376,1503101,1450.14382,0.0165
2020-06-23,PA,Igarapé-Açu,city,357,21,True,38807,1503200,919.93712,0.0588
2020-06-23,PA,Igarapé-Miri,city,935,30,True,62698,1503309,1491.27564,0.0321
2020-06-23,PA,Importados/Indefinidos,city,0,0,True,,,,0.0
2020-06-23,PA,Inhangapi,city,48,4,True,11711,1503408,409.87106,0.0833
2020-06-23,PA,Ipixuna do Pará,city,329,9,True,64053,1503457,513.63714,0.0274
2020-06-23,PA,Irituia,city,246,6,True,32550,1503507,755.76037,0.0244
2020-06-23,PA,Itaituba,city,2131,39,True,101247,1503606,2104.75372,0.0183
2020-06-23,PA,Itupiranga,city,138,4,True,53269,1503705,259.06249,0.029
2020-06-23,PA,Jacareacanga,city,275,6,True,8239,1503754,3337.78371,0.0218
2020-06-23,PA,Jacundá,city,356,9,True,59155,1503804,601.80881,0.0253
2020-06-23,PA,Juruti,city,464,48,True,57943,1503903,800.78698,0.1034
2020-06-23,PA,Limoeiro do Ajuru,city,457,12,True,28935,1504000,1579.40211,0.0263
2020-06-23,PA,Mãe do Rio,city,311,20,True,30077,1504059,1034.0127,0.0643
2020-06-23,PA,Magalhães Barata,city,109,8,True,8548,1504109,1275.15208,0.0734
2020-06-23,PA,Marabá,city,3111,129,True,279349,1504208,1113.66069,0.0415
2020-06-23,PA,Maracanã,city,95,12,True,29473,1504307,322.32891,0.1263
2020-06-23,PA,Marapanim,city,303,16,True,28336,1504406,1069.31112,0.0528
2020-06-23,PA,Marituba,city,583,56,True,131521,1504422,443.27522,0.0961
